song,artist,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Trying to Get to You,Elvis Presley,4zQLZPcTl8hJC5pJtooT3h,0.551,0.663,5.0,-8.681,1.0,0.0499,0.453,6.31e-06,0.341,0.884,103.817,audio_features,4zQLZPcTl8hJC5pJtooT3h,spotify:track:4zQLZPcTl8hJC5pJtooT3h,https://api.spotify.com/v1/tracks/4zQLZPcTl8hJC5pJtooT3h,https://api.spotify.com/v1/audio-analysis/4zQLZPcTl8hJC5pJtooT3h,150720.0,4.0
Five Years - 2012 Remaster,David Bowie,1JIzFhI9Lt5FyslawmHCBi,0.46,0.326,7.0,-10.699,1.0,0.0417,0.142,1.01e-05,0.0449,0.321,152.531,audio_features,1JIzFhI9Lt5FyslawmHCBi,spotify:track:1JIzFhI9Lt5FyslawmHCBi,https://api.spotify.com/v1/tracks/1JIzFhI9Lt5FyslawmHCBi,https://api.spotify.com/v1/audio-analysis/1JIzFhI9Lt5FyslawmHCBi,283753.0,3.0
Sweet Lorraine - Remastered 1999,Nat King Cole,6fEtL5MfpiG8WqlaA1O7Zu,0.581,0.13,9.0,-16.079,0.0,0.0493,0.739,4.26e-06,0.0585,0.213,74.588,audio_features,6fEtL5MfpiG8WqlaA1O7Zu,spotify:track:6fEtL5MfpiG8WqlaA1O7Zu,https://api.spotify.com/v1/tracks/6fEtL5MfpiG8WqlaA1O7Zu,https://api.spotify.com/v1/audio-analysis/6fEtL5MfpiG8WqlaA1O7Zu,276440.0,4.0
Is This Love,Bob Marley & The Wailers,6JRLFiX9NJSoRRKxowlBYr,0.776,0.559,6.0,-8.375,0.0,0.103,0.11,0.0,0.0671,0.758,122.242,audio_features,6JRLFiX9NJSoRRKxowlBYr,spotify:track:6JRLFiX9NJSoRRKxowlBYr,https://api.spotify.com/v1/tracks/6JRLFiX9NJSoRRKxowlBYr,https://api.spotify.com/v1/audio-analysis/6JRLFiX9NJSoRRKxowlBYr,232200.0,4.0
Rat Race,Bob Marley & The Wailers,5DMmfRcYbjyqtAzWK16BRg,0.705,0.392,10.0,-11.326,1.0,0.326,0.0837,3.55e-06,0.0578,0.721,76.376,audio_features,5DMmfRcYbjyqtAzWK16BRg,spotify:track:5DMmfRcYbjyqtAzWK16BRg,https://api.spotify.com/v1/tracks/5DMmfRcYbjyqtAzWK16BRg,https://api.spotify.com/v1/audio-analysis/5DMmfRcYbjyqtAzWK16BRg,171840.0,4.0
Shuggie,Foxygen,51XZD1FCrWyU3dDWJH4nzb,0.467,0.645,1.0,-7.614,0.0,0.0364,0.101,0.00524,0.144,0.71,127.947,audio_features,51XZD1FCrWyU3dDWJH4nzb,spotify:track:51XZD1FCrWyU3dDWJH4nzb,https://api.spotify.com/v1/tracks/51XZD1FCrWyU3dDWJH4nzb,https://api.spotify.com/v1/audio-analysis/51XZD1FCrWyU3dDWJH4nzb,201707.0,3.0
Walk On the Wild Side,Lou Reed,5p3JunprHCxClJjOmcLV8G,0.575,0.318,0.0,-16.729,1.0,0.109,0.683,0.000202,0.0934,0.385,104.522,audio_features,5p3JunprHCxClJjOmcLV8G,spotify:track:5p3JunprHCxClJjOmcLV8G,https://api.spotify.com/v1/tracks/5p3JunprHCxClJjOmcLV8G,https://api.spotify.com/v1/audio-analysis/5p3JunprHCxClJjOmcLV8G,254173.0,4.0
Midnight Rambler,The Rolling Stones,3tIvHt7VaIenprWXrYzgwb,0.403,0.658,9.0,-10.285,1.0,0.118,0.772,3.96e-06,0.166,0.512,75.488,audio_features,3tIvHt7VaIenprWXrYzgwb,spotify:track:3tIvHt7VaIenprWXrYzgwb,https://api.spotify.com/v1/tracks/3tIvHt7VaIenprWXrYzgwb,https://api.spotify.com/v1/audio-analysis/3tIvHt7VaIenprWXrYzgwb,412760.0,4.0
Honky Tonk Women - Mono Version,The Rolling Stones,4z7OCDAAIZxfzQ6qyUSx1O,0.559,0.718,7.0,-8.534,1.0,0.0599,0.364,0.0182,0.0535,0.965,120.24,audio_features,4z7OCDAAIZxfzQ6qyUSx1O,spotify:track:4z7OCDAAIZxfzQ6qyUSx1O,https://api.spotify.com/v1/tracks/4z7OCDAAIZxfzQ6qyUSx1O,https://api.spotify.com/v1/audio-analysis/4z7OCDAAIZxfzQ6qyUSx1O,179693.0,4.0
The National Anthem,Radiohead,7x7F7xBqXqr0L9wqJ3tuQW,0.486,0.754,2.0,-8.552,1.0,0.0378,0.00237,0.858,0.224,0.387,91.52,audio_features,7x7F7xBqXqr0L9wqJ3tuQW,spotify:track:7x7F7xBqXqr0L9wqJ3tuQW,https://api.spotify.com/v1/tracks/7x7F7xBqXqr0L9wqJ3tuQW,https://api.spotify.com/v1/audio-analysis/7x7F7xBqXqr0L9wqJ3tuQW,351693.0,4.0
